Ref,Val,Package,PosX,PosY,Rot,Side
"D132","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-119.000000,-67.750000,0.000000,bottom
"D133","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-128.000000,-69.750000,0.000000,bottom
"D134","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-168.500000,-70.250000,0.000000,bottom
"D135","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-177.000000,-68.250000,0.000000,bottom
"D136","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-196.000000,-64.750000,0.000000,bottom
"D137","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-204.000000,-62.250000,0.000000,bottom
"D138","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-212.500000,-60.250000,0.000000,bottom
"D139","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-222.500000,-62.750000,0.000000,bottom
"D140","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-231.000000,-60.750000,0.000000,bottom
"D141","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-241.500000,-63.250000,0.000000,bottom
"D142","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-249.000000,-61.250000,0.000000,bottom
"D143","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-259.000000,-59.750000,0.000000,bottom
"D144","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-266.500000,-57.750000,0.000000,bottom
"D145","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-36.500000,-68.750000,0.000000,bottom
"D146","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-54.500000,-72.750000,0.000000,bottom
"D147","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-72.500000,-71.750000,0.000000,bottom
"D148","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-91.000000,-71.250000,0.000000,bottom
"D149","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-100.000000,-72.250000,0.000000,bottom
"D150","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-108.000000,-73.250000,0.000000,bottom
"D151","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-126.500000,-78.750000,0.000000,bottom
"D152","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-179.000000,-76.250000,0.000000,bottom
"D153","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-187.800000,-74.250000,0.000000,bottom
"D154","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-196.500000,-72.750000,0.000000,bottom
"D155","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-214.000000,-68.750000,0.000000,bottom
"D156","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-232.500000,-69.250000,0.000000,bottom
"D157","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-251.000000,-69.750000,0.000000,bottom
"D158","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-269.000000,-65.750000,0.000000,bottom
"D159","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-25.500000,-74.250000,0.000000,bottom
"D160","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-34.500000,-75.250000,0.000000,bottom
"D161","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-43.000000,-77.750000,0.000000,bottom
"D162","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-51.500000,-79.250000,0.000000,bottom
"D163","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-61.500000,-77.750000,0.000000,bottom
"D164","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-70.500000,-78.750000,0.000000,bottom
"D165","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-79.500000,-76.750000,0.000000,bottom
"D166","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-88.500000,-78.750000,0.000000,bottom
"D167","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-107.300000,-83.750000,0.000000,bottom
"D168","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-115.500000,-84.250000,0.000000,bottom
"D169","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-124.000000,-86.250000,0.000000,bottom
"D170","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-172.000000,-86.500000,0.000000,bottom
"D171","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-180.500000,-84.750000,0.000000,bottom
"D172","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-199.000000,-81.250000,0.000000,bottom
"D173","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-207.500000,-79.250000,0.000000,bottom
"D174","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-215.500000,-76.750000,0.000000,bottom
